Power_of_2,Fibonacci,Diff
1,1,0
2,2,0
4,3,1
8,5,3
16,8,8
32,13,19
64,21,43
128,34,94
256,55,201
512,89,423
1024,144,880
2048,233,1815
4096,377,3719
8192,610,7582
16384,987,15397
32768,1597,31171
65536,2584,62952
131072,4181,126891
262144,6765,255379
524288,10946,513342
1048576,17711,1030865
2097152,28657,2068495
4194304,46368,4147936
8388608,75025,8313583
16777216,121393,16655823
33554432,196418,33358014
67108864,317811,66791053
134217728,514229,133703499
268435456,832040,267603416
536870912,1346269,535524643
